year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2016,0,500,503,645,800,1006
2016,1,479,482,645,847,1036
2016,2,500,503,645,800,949
2016,3,544,579,713,965,987
2016,4,460,560,703,917,1176
2016,5,500,504,657,906,1050
2016,6,764,820,949,1253,1532
2016,7,764,820,949,1253,1532
2016,8,480,483,647,835,1040
2016,9,479,482,645,800,1126
2016,10,446,609,705,938,1142
2016,11,531,537,645,940,1036
2016,12,588,592,792,1083,1173
2016,13,544,547,700,939,1176
2016,14,657,775,897,1208,1412
2016,15,505,510,656,956,1145
2016,16,533,612,735,997,1269
2016,17,591,595,796,988,1091
2016,18,479,482,645,880,1036
2016,19,604,608,814,1130,1420
2016,20,479,482,645,862,1126
2016,21,764,820,949,1253,1532
2016,22,515,616,767,1019,1247
2016,23,479,482,645,938,1036
2016,24,657,775,897,1208,1412
2016,25,593,658,777,1077,1357
2016,26,479,482,645,856,1126
2016,27,764,820,949,1253,1532
2016,28,582,644,759,1032,1285
2016,29,521,524,672,880,1080
2016,30,764,820,949,1253,1532
2016,31,479,482,645,821,1041
2016,32,764,820,949,1253,1532
2016,33,479,482,645,926,1086
2016,34,487,490,645,892,1048
2016,35,533,612,735,997,1269
2016,36,531,557,645,940,1090
2016,37,764,820,949,1253,1532
2016,38,446,609,705,938,1142
2016,39,503,507,645,802,1033
2016,40,515,616,767,1019,1247
2016,41,764,820,949,1253,1532
2016,42,519,522,651,838,892
2016,43,764,820,949,1253,1532
2016,44,479,482,645,891,1095
2016,45,492,496,645,918,1036
2016,46,544,579,713,965,987
2016,47,764,820,949,1253,1532
2016,48,504,551,645,940,1036
2016,49,544,547,700,939,1176
2016,50,657,775,897,1208,1412
2016,51,479,482,645,847,938
2016,52,479,482,645,827,900
2016,53,519,523,645,857,884
2016,54,525,528,677,840,1088
2016,55,764,820,949,1253,1532
2016,56,494,501,670,879,1119
2016,57,764,820,949,1253,1532
2016,58,487,490,656,851,1015
2016,59,764,820,949,1253,1532
2016,60,521,524,702,871,1226
2016,61,479,482,645,905,1126
2016,62,588,592,792,1083,1173
2016,63,458,552,694,979,1178
2016,64,531,557,645,847,1069
2016,65,491,494,661,878,1062
2016,66,764,820,949,1253,1532
2016,67,540,561,656,956,1054
2016,68,640,676,829,1049,1172
2016,69,500,503,645,881,884
2016,70,553,557,745,1016,1213
2016,71,593,658,777,1077,1357
2016,72,479,482,645,840,884
2016,73,764,820,949,1253,1532
2016,74,764,820,949,1253,1532
2016,75,646,660,806,1026,1225
2016,76,500,503,645,821,1036
2016,77,606,610,777,964,1192
2016,78,764,820,949,1253,1532
2016,79,500,503,645,815,912
2016,80,479,482,645,800,1029
2016,81,500,503,645,822,1036
2016,82,481,484,645,868,884
2016,83,446,609,705,938,1142
2016,84,510,513,645,940,1040
2016,85,544,547,700,939,1176
2016,86,518,522,645,876,1030
2016,87,544,579,713,965,987
2016,88,676,724,843,1178,1472
2016,89,482,557,645,874,1126
2016,90,479,482,645,940,1126
2016,91,544,547,700,939,1176
2016,92,544,548,723,1038,1262
2016,93,486,489,645,800,884
2016,94,582,644,759,1032,1285
2016,95,593,658,777,1077,1357
2016,96,533,612,735,997,1269
2016,97,588,592,792,1083,1173
2016,98,534,554,649,930,933
2016,99,500,503,645,827,1036
2016,100,511,515,689,855,944
2016,101,453,576,667,972,1079
2016,102,531,557,645,800,1036
2016,103,549,576,667,972,1125
2016,104,488,491,645,824,1006
2016,105,593,658,777,1077,1357
2016,106,764,820,949,1253,1532
2016,107,582,644,759,1032,1285
2016,108,582,644,759,1032,1285
2016,109,764,820,949,1253,1532
2016,110,406,526,659,900,903
2016,111,764,820,949,1253,1532
2016,112,531,557,645,874,1126
2016,113,764,820,949,1253,1532
2016,114,413,500,669,913,1012
2016,115,479,482,645,916,1011
2016,116,552,556,713,885,977
2016,117,500,503,645,849,1036
2016,118,468,606,749,949,1027
2016,119,508,512,685,998,1101
2016,120,533,612,735,997,1269
2016,121,764,820,949,1253,1532
2016,122,492,495,645,940,1126
2016,123,479,482,645,860,884
2016,124,500,503,645,849,1036
2016,125,764,820,949,1253,1532
2016,126,479,482,645,928,1126
2016,127,500,503,645,940,1036
2016,128,524,564,653,838,895
2016,129,627,631,845,1049,1358
2016,130,634,638,818,1015,1314
2016,131,531,557,645,934,938
2016,132,500,503,645,927,1036
2016,133,398,482,645,800,1036
2016,134,544,579,713,965,987
2016,135,543,547,718,981,984
2016,136,521,524,675,859,994
2016,137,479,482,645,874,1126
2016,138,556,559,675,846,1178
2016,139,520,524,645,816,884
2016,140,572,576,732,1040,1091
2016,141,500,503,645,828,1126
2016,142,446,609,705,938,1142
2016,143,499,502,672,882,1018
2016,144,531,557,645,940,1015
2016,145,515,616,767,1019,1247
2016,146,764,820,949,1253,1532
2016,147,421,482,645,873,884
2016,148,496,500,645,940,1126
2016,149,531,557,645,888,1126
2016,150,479,482,645,827,1126
2016,151,514,517,663,823,1065
2016,152,398,503,645,940,1036
2016,153,582,586,740,1041,1189
2016,154,545,549,677,888,928
2016,155,531,557,645,800,1036
2016,156,486,490,645,940,1036
2016,157,479,482,645,932,1105
2016,158,544,579,713,965,987
